AREA,GDP_1994£¨,GDP_1997£¨,GDP_1998£¨,GDP_1999£¨,GDP_2000£¨,id,PROVINCE_,Vocation,DZM,NAME,Jap,Jpan
449906210000,1618.63,2708.46,2798.89,2897.41,3253,3,2,5,230000,黑龙江,全省沦陷,3
1636050000000,673.68,1050.14,1116.67,1168.55,1364.36,1,3,1,650000,新疆,未侵占,
157271770000,0.085377,1480.13,1486.08,1506.78,1643.81,2,4,3,140000,山西,部分沦陷（98.2%）,2
50492383000,133.97,210.92,227.46,241.49,265.57,1,5,1,640000,宁夏,未侵占,
1205060000000,45.84,76.98,91.18,105.61,117.46,2,6,0,540000,西藏,未侵占,
154238420000,3872.18,6650.02,7162.2,7662.1,8542.44,1,7,4,370000,山东,全省沦陷,4
165069370000,2224.43,4079.26,4356.6,4576.1,5137.66,4,8,13,410000,河南,部分沦陷（95%）,2
100320890000,4057.39,6680.34,7199.95,7697.82,8582.73,2,9,17,320000,江苏,全省沦陷,
140951260000,1488.47,2669.95,2805.45,2908.58,3038.24,3,10,13,340000,安徽,部分沦陷（81.9%）,2
186518000000,1878.65,3450.24,3704.21,3857.99,4276.32,1,11,14,420000,湖北,部分沦陷(69.3%),2
100943420000,2666.86,4638.24,4987.5,5364.89,6036.34,4,14,8,330000,浙江,部分沦陷（78.6）,2
166776730000,948.16,1715.18,1851.98,1853.65,2003.07,2,15,4,360000,江西,部分沦陷(63.5%),2
211819710000,1694.42,2993,3118.09,3326.75,3691.88,4,16,13,430000,湖南,部分沦陷(68.4%),2
383733920000,973.97,1644.23,1793.9,1855.74,1955.09,4,17,1,530000,云南,部分沦陷(3.3%),2
175686390000,521.17,792.98,841.88,911.86,993.53,3,18,4,520000,贵州,部分沦陷(4.8%),2
122237100000,1685.34,3000.36,3286.56,3550.24,3920.07,1,19,8,350000,福建,部分沦陷(18.5%),2
235149200000,1241.83,1817.25,1903.04,1953.27,2050.14,2,20,5,450000,广西,部分沦陷(68.6%),2
176048820000,4240.56,7315.51,7919.12,8464.31,9662.23,3,22,16,440000,广东,部分沦陷（70.3%),2
33913115000,330.95,409.86,438.92,471.23,518.48,1,25,0,460000,海南,沦陷,1
191775640000,936.78,1446.91,1557.78,1660.91,1821.19,1,26,4,220000,吉林,全省沦陷,3
145014900000,2461.78,3582.46,3881.73,4171.69,4669.06,2,27,9,210000,辽宁,全省沦陷,3
11660963000,725.14,1235.28,1336.38,1450.06,1639.36,4,29,3,120000,天津,沦陷,1
717153110000,138.24,202.05,220.16,238.39,263.59,3,30,1,630000,青海,沦陷,1
404372910000,451.66,781.34,869.75,931.98,983.36,2,33,2,620000,甘肃,未侵占,
206038370000,816.58,1300.03,1381.53,1487.61,1660.92,3,34,3,610000,陕西,未侵占,
1147320000000,681.92,1099.77,1192.29,1268.2,1401.01,4,35,4,150000,内蒙古,部分沦陷,2
8412664,0,1350.1,1429.26,1479.71,1589.34,2,0,2,500000,重庆,未侵占,
185587990000,2187.49,3953.78,4256.01,4569.19,5088.96,3,36,11,130000,河北,全省沦陷,3
5255601700,1971.92,3360.21,3688.2,4034.96,4551.15,1,13,6,310000,上海,沦陷,1
16345560000,1084.03,1810.09,2011.31,2174.46,2478.76,2,28,4,110000,北京,沦陷,1
35883500000,15367.37,0,0,0,0,2,21,0,710000,台湾,全省沦陷,3
795084500,11250.03,0,0,0,0,1,23,0,810000,香港,沦陷,1
0,0,0,0,0,0,2,0,0,820000,澳门,沦陷,1
563542750000,2777.88,3320.11,3580.26,3711.61,4010.25,1,32,5,510000,四川,未侵占,
